day,timeslot
2/2/2015,12.26
2/4/2015,9.49
2/9/2015,9.56
2/12/2015,9.02
02/17/2015,9.39
02/19/2015,10.38
02/23/2015,9.51
02/24/2015,9.53
02/26/2015,8.54
3/5/2015,8.52
3/9/2015,9.49
3/10/2015,9.49
3/12/2015,9.48
03/13/2015,11.57
03/16/2015,12.41
03/17/2015,9.46
03/19/2015,9.49
03/23/2015,9.52
03/25/2015,14.44
03/26/2015,9.16
03/30/2015,9.40
4/1/2015,10.16
4/2/2015,8.55
4/7/2015,9.44
04/13/2015,9.43
04/14/2015,9.56
04/16/2015,8.53
04/16/2015,13.18
04/20/2015,9.18
04/21/2015,9.31
04/21/2015,13.39
04/23/2015,8.57
04/29/2015,13.31
04/30/2015,8.58
5/4/2015,10.56
5/7/2015,12.43
5/7/2015,19.14
5/11/2015,10.23
05/18/2015,11.08
05/19/2015,9.27
05/21/2015,9.53
05/26/2015,11.26
05/28/2015,8.53
6/8/2015,9.42
6/9/2015,9.40
6/11/2015,16.27
6/11/2015,16.28
06/16/2015,10.55
06/16/2015,14.55
06/18/2015,8.53
06/22/2015,9.57
06/23/2015,9.51
06/25/2015,14.22
06/29/2015,11.48
7/6/2015,10.01
7/7/2015,9.50
7/9/2015,8.55
07/13/2015,9.58
07/14/2015,10.03
07/16/2015,8.50
07/16/2015,13.27
07/20/2015,9.54
07/23/2015,8.39
07/27/2015,11.43
07/28/2015,10.33
07/30/2015,10.07
8/4/2015,9.58
8/10/2015,11.57
08/18/2015,10.03
08/20/2015,9.44
08/24/2015,10.06
08/25/2015,9.46
08/27/2015,10.20
08/31/2015,9.53
9/1/2015,10.52
9/3/2015,8.53
9/7/2015,9.51
9/8/2015,11.16
9/10/2015,12.29
09/14/2015,10.31
09/16/2015,10.02
09/21/2015,11.32
09/22/2015,12.49
09/28/2015,9.55
09/29/2015,9.57
10/1/2015,11.18
10/6/2015,12.25
10/8/2015,9.51
10/12/2015,10.01
10/13/2015,10.49
10/15/2015,8.50
10/19/2015,9.48
10/20/2015,9.44
10/28/2015,9.44
10/29/2015,9.48
11/2/2015,9.55
11/3/2015,9.51
11/3/2015,20.45
11/5/2015,9.02
11/9/2015,10.47
11/10/2015,10.36
11/11/2015,11.10
11/12/2015,9.39
11/12/2015,9.43
11/12/2015,18.24
11/16/2015,10.26
11/16/2015,18.55
11/17/2015,10.13
11/25/2015,9.36
11/26/2015,9.58
11/26/2015,13.10
11/30/2015,9.49
12/1/2015,9.50
12/3/2015,10.14
12/3/2015,23.27
12/7/2015,9.59
12/9/2015,9.50
12/10/2015,8.48
12/14/2015,12.12
12/15/2015,9.55
12/17/2015,10.00
12/18/2015,16.23
12/18/2015,17.19
12/18/2015,23.56
12/19/2015,0.02
12/19/2015,11.55
12/19/2015,11.59
12/19/2015,12.12
12/21/2015,10.23
12/22/2015,13.09
12/23/2015,11.27
12/23/2015,16.54
12/23/2015,17.00
12/23/2015,17.25
12/23/2015,17.35
12/28/2015,11.18
1/4/2016,12.16
1/7/2016,8.52
1/11/2016,13.14
1/12/2016,10.20
1/12/2016,12.26
01/14/2016,10.29
01/18/2016,9.57
01/19/2016,9.50
01/21/2016,10.59
01/21/2016,15.02
01/26/2016,9.58
01/27/2016,9.57
01/28/2016,11.00
2/1/2016,10.24
2/1/2016,10.28
2/1/2016,18.54
2/2/2016,10.38
2/4/2016,11.00
2/8/2016,9.04
2/9/2016,9.39
2/9/2016,9.39
2/9/2016,9.47
2/11/2016,9.45
2/11/2016,9.50
02/15/2016,9.48
02/16/2016,9.58
02/17/2016,9.39
02/18/2016,12.18
02/18/2016,15.41
02/18/2016,15.42
02/22/2016,16.09
02/22/2016,16.13
02/22/2016,16.22
02/23/2016,9.48
02/23/2016,18.50
02/25/2016,9.44
02/25/2016,9.52
02/25/2016,13.08
02/25/2016,15.05
02/29/2016,9.51
3/1/2016,9.45
3/3/2016,8.49
3/3/2016,12.04
3/3/2016,18.48
3/8/2016,9.14
3/9/2016,9.53
3/10/2016,10.03
03/14/2016,9.50
03/15/2016,9.31
03/17/2016,9.36
03/21/2016,10.01
03/22/2016,10.01
03/29/2016,10.45
03/30/2016,9.55
03/31/2016,10.00
04/19/2016,10.59
04/20/2016,13.36
04/25/2016,11.33
04/26/2016,13.56
04/30/2016,14.13
5/2/2016,9.59
5/3/2016,9.06
5/9/2016,9.56
5/10/2016,9.47
5/10/2016,14.22
5/12/2016,9.52
05/17/2016,11.23
05/19/2016,10.24
