Date,Name,Year,Letterboxd URI,Rating,Tags,Watched_Date
2016-09-24,The Witch,2015,https://letterboxd.com/twuyver/film/the-witch-2015/,4.5,,2016-08-03
2016-09-24,Army of Darkness,1992,https://letterboxd.com/twuyver/film/army-of-darkness/,4,,2016-09-03
2016-09-24,The Jungle Book,2016,https://letterboxd.com/twuyver/film/the-jungle-book-2016/,5,,2016-09-10
2016-09-24,Seventh Son,2014,https://letterboxd.com/twuyver/film/seventh-son/,2,netflix,2016-09-22
2016-09-24,Hannibal,2001,https://letterboxd.com/twuyver/film/hannibal/,3.5,,2016-09-22
2016-09-24,Blood Rage,1987,https://letterboxd.com/twuyver/film/blood-rage-1987/,4,horror,2016-09-23
2016-09-24,Star Wars: Episode I - The Phantom Menace,1999,https://letterboxd.com/twuyver/film/star-wars-episode-i-the-phantom-menace/,2,SciFi,2016-09-23
2016-09-25,Sharknado 3: Oh Hell No!,2015,https://letterboxd.com/twuyver/film/sharknado-3-oh-hell-no/,1.5,,2016-09-24
2016-09-30,Red Dragon,2002,https://letterboxd.com/twuyver/film/red-dragon/,3.5,,2016-09-29
2016-10-01,The Black Cat,1981,https://letterboxd.com/twuyver/film/the-black-cat-1981/,2,"Fulci, horror",2016-09-30
2016-10-02,Green Room,2015,https://letterboxd.com/twuyver/film/green-room/,4,,2016-10-01
2016-10-02,Train to Busan,2016,https://letterboxd.com/twuyver/film/train-to-busan/,4,"Zombies, Korean, Train",2016-10-01
2016-10-04,Four of the Apocalypse,1975,https://letterboxd.com/twuyver/film/four-of-the-apocalypse/,3,"fulci, western",2016-10-03
2016-10-05,Lucy,2014,https://letterboxd.com/twuyver/film/lucy-2014/,4,,2016-10-04
2016-10-05,Wanted,2008,https://letterboxd.com/twuyver/film/wanted-2008/,3,,2016-10-04
2016-10-06,Resident Evil: Afterlife,2010,https://letterboxd.com/twuyver/film/resident-evil-afterlife/,3,"zombies, Post apocalyptic",2016-10-05
2016-10-07,Predestination,2014,https://letterboxd.com/twuyver/film/predestination/,3,Timetravel,2016-10-06
2016-10-08,Frozen,2010,https://letterboxd.com/twuyver/film/frozen-2010/,2,,2016-10-07
2016-10-11,Stalingrad,2013,https://letterboxd.com/twuyver/film/stalingrad-2013/,2.5,"war, russian, Nazi's",2016-10-10
2016-10-15,The Magnificent Seven,1960,https://letterboxd.com/twuyver/film/the-magnificent-seven/,4,western,2016-10-14
2016-10-17,The Expendables 3,2014,https://letterboxd.com/twuyver/film/the-expendables-3/,3,,2016-10-16
2016-10-19,Grand Piano,2013,https://letterboxd.com/twuyver/film/grand-piano/,2,,2016-10-18
2016-10-20,9th Company,2005,https://letterboxd.com/twuyver/film/9th-company/,4,"War, Russian",2016-10-19
2016-10-21,Oz: The Great and Powerful,2013,https://letterboxd.com/twuyver/film/oz-the-great-and-powerful/,4,,2016-10-20
2016-10-22,High-Rise,2015,https://letterboxd.com/twuyver/film/high-rise-2015/4/,4,Dystopian,2016-10-21
