day	timeslot
February 02 2015	12:26PM 
February 04 2015	09:49AM 
February 09 2015	09:56AM 
February 12 2015	09:02AM 
February 17 2015	09:39AM 
February 19 2015	10:38AM 
February 23 2015	09:51AM 
February 24 2015	09:53AM 
February 26 2015	08:54AM 
March 05 2015	08:52AM 
March 09 2015	09:49AM 
March 10 2015	09:49AM 
March 12 2015	09:48AM 
March 13 2015	11:57AM 
March 16 2015	12:41PM 
March 17 2015	09:46AM 
March 19 2015	09:49AM 
March 23 2015	09:52AM 
March 25 2015	02:44PM 
March 26 2015	09:16AM 
March 30 2015	09:40AM 
April 01 2015	10:16AM 
April 02 2015	08:55AM 
April 07 2015	09:44AM 
April 13 2015	09:43AM 
April 14 2015	09:56AM 
April 16 2015	08:53AM 
April 16 2015	01:18PM 
April 20 2015	09:18AM 
April 21 2015	09:31AM 
April 21 2015	01:39PM 
April 23 2015	08:57AM 
April 29 2015	01:31PM 
April 30 2015	08:58AM 
May 04 2015	10:56AM 
May 07 2015	12:43PM 
May 07 2015	07:14PM 
May 11 2015	10:23AM 
May 18 2015	11:08AM 
May 19 2015	09:27AM 
May 21 2015	09:53AM 
May 26 2015	11:26AM 
May 28 2015	08:53AM 
June 08 2015	09:42AM 
June 09 2015	09:40AM 
June 11 2015	04:27PM 
June 11 2015	04:28PM 
June 16 2015	10:55AM 
June 16 2015	02:55PM 
June 18 2015	08:53AM 
June 22 2015	09:57AM 
June 23 2015	09:51AM 
June 25 2015	02:22PM 
June 29 2015	11:48AM 
July 06 2015	10:01AM 
July 07 2015	09:50AM 
July 09 2015	08:55AM 
July 13 2015	09:58AM 
July 14 2015	10:03AM 
July 16 2015	08:50AM 
July 16 2015	01:27PM 
July 20 2015	09:54AM 
July 23 2015	08:39AM 
July 27 2015	11:43AM 
July 28 2015	10:33AM 
July 30 2015	10:07AM 
August 04 2015	09:58AM 
August 10 2015	11:57AM 
August 18 2015	10:03AM 
August 20 2015	09:44AM 
August 24 2015	10:06AM 
August 25 2015	09:46AM 
August 27 2015	10:20AM 
August 31 2015	09:53AM 
September 01 2015	10:52AM 
September 03 2015	08:53AM 
September 07 2015	09:51AM 
September 08 2015	11:16AM 
September 10 2015	12:29PM 
September 14 2015	10:31AM 
September 16 2015	10:02AM 
September 21 2015	11:32AM 
September 22 2015	12:49PM 
September 28 2015	09:55AM 
September 29 2015	09:57AM 
October 01 2015	11:18AM 
October 06 2015	12:25PM 
October 08 2015	09:51AM 
October 12 2015	10:01AM 
October 13 2015	10:49AM 
October 15 2015	08:50AM 
October 19 2015	09:48AM 
October 20 2015	09:44AM 
October 28 2015	09:44AM 
October 29 2015	09:48AM 
November 02 2015	09:55AM 
November 03 2015	09:51AM 
November 03 2015	08:45PM 
November 05 2015	09:02AM 
November 09 2015	10:47AM 
November 10 2015	10:36AM 
November 11 2015	11:10AM 
November 12 2015	09:39AM 
November 12 2015	09:43AM 
November 12 2015	06:24PM 
November 16 2015	10:26AM 
November 16 2015	06:55PM 
November 17 2015	10:13AM 
November 25 2015	09:36AM 
November 26 2015	09:58AM 
November 26 2015	01:10PM 
November 30 2015	09:49AM 
December 01 2015	09:50AM 
December 03 2015	10:14AM 
December 03 2015	11:27PM 
December 07 2015	09:59AM 
December 09 2015	09:50AM 
December 10 2015	08:48AM 
December 14 2015	12:12PM 
December 15 2015	09:55AM 
December 17 2015	10:00AM 
December 18 2015	04:23PM 
December 18 2015	05:19PM 
December 18 2015	11:56PM 
December 19 2015	12:02AM 
December 19 2015	11:55AM 
December 19 2015	11:59AM 
December 19 2015	12:12PM 
December 21 2015	10:23AM 
December 22 2015	01:09PM 
December 23 2015	11:27AM 
December 23 2015	04:54PM 
December 23 2015	05:00PM 
December 23 2015	05:25PM 
December 23 2015	05:35PM 
December 28 2015	11:18AM 
January 04 2016	12:16PM 
January 07 2016	08:52AM 
January 11 2016	01:14PM 
January 12 2016	10:20AM 
January 12 2016	12:26PM 
January 14 2016	10:29AM 
